reading_id,worker_id,reading_no,datetime,shift_hours,break_gap_min,x,y,z,eda,hr,temp,fatigue_score,blink_rate_pm,activity_score,accel_impact_g,body_angle_deg,motion_detected,helmet,vest,zone_authorized,hr_prev,temp_prev,eda_prev,temp_slope,hr_slope,eda_slope,heat_stress_risk_percent,fatigue_risk_percent,fall_risk_percent,collapse_risk_percent,ppe_risk_percent,predicted_anomaly,time_to_anomaly_min,confidence_percent,actual_anomaly_label,hour,day,month,movement_magnitude,ppe_compliance_score,overall_risk_score,fatigue_level,worker_id_encoded,predicted_anomaly_encoded,actual_anomaly_label_encoded
42,W001,42,2024-01-01 18:30:00,10.5,315,-22,-70,-42,6.629365,78.19,36.83,2.75,17,82,0.01,87,1,1,1,1,77.98,36.9,6.642062,-0.07,0.21,-0.012697,48,73,13,67,94,PPE_Violation,10,94,Normal,18,1,1,84.54584555,3,59,Low,0,1,2
43,W001,43,2024-01-01 18:45:00,10.75,322,-76,-73,-22,6.653872,74.09,36.89,2.75,16,85,0.12,87,1,1,1,1,78.19,36.83,6.629365,0.06,-4.1,0.024507,99,72,13,82,95,Heat_Stress,1,99,Normal,18,1,1,107.6522178,3,72.2,Low,0,0,2
44,W001,44,2024-01-01 19:00:00,11,330,-1,-43,-43,6.640862,75.58,36.84,2.64,17,84,0.1,88,1,1,1,1,74.09,36.89,6.653872,-0.05,1.49,-0.01301,58,73,13,71,98,PPE_Violation,3,98,Normal,19,1,1,60.8194048,3,62.6,Low,0,1,2
45,W001,45,2024-01-01 19:15:00,11.25,337,-46,-61,24,6.639035,77.02,36.86,2.94,15,79,0.32,87,1,1,1,1,75.58,36.84,6.640862,0.02,1.44,-0.001827,77,79,14,80,99,PPE_Violation,1,99,Normal,19,1,1,80.08120878,3,69.8,Low,0,1,2
46,W001,46,2024-01-01 19:30:00,11.5,345,-55,-64,-47,6.677188,76.61,36.88,3.05,16,80,0.04,88,1,1,1,1,77.02,36.86,6.639035,0.02,-0.41,0.038153,69,80,15,78,99,PPE_Violation,1,99,Normal,19,1,1,96.59192513,3,68.2,Low,0,1,2
47,W001,47,2024-01-01 19:45:00,11.75,352,-35,-76,3,6.638667,74.15,36.86,2.86,18,80,0.22,88,1,1,1,1,76.61,36.88,6.677188,-0.02,-2.46,-0.038521,52,79,14,73,99,PPE_Violation,1,99,Normal,19,1,1,83.72574276,3,63.4,Low,0,1,2
48,W001,48,2024-01-01 20:00:00,12,360,-47,-40,10,6.636026,78.03,36.89,2.91,15,78,0.21,89,1,1,1,1,74.15,36.86,6.638667,0.03,3.88,-0.002641,99,82,14,89,99,Heat_Stress,1,99,Normal,20,1,1,62.52199613,3,76.6,Low,0,0,2
49,W001,49,2024-01-01 20:15:00,12.25,367,0,-76,2,6.641818,75.2,36.87,2.88,16,79,0.09,87,1,1,1,1,78.03,36.89,6.636026,-0.02,-2.83,0.005792,55,82,14,76,99,PPE_Violation,1,99,Normal,20,1,1,76.02631123,3,65.2,Low,0,1,2
50,W001,50,2024-01-01 20:30:00,12.5,375,3,-57,7,6.644009,76.15,36.87,2.86,17,78,0.19,87,1,1,1,1,75.2,36.87,6.641818,0,0.95,0.002191,61,83,14,79,99,PPE_Violation,1,99,Normal,20,1,1,57.50652137,3,67.2,Low,0,1,2
51,W002,1,2024-01-01 8:15:00,0.25,7,-66,-60,3,6.521133,73.27,36.73,2.05,17,85,0.25,85,1,1,1,1,74.8,36.78,6.537409,-0.0547,-1.5298,-0.016276,1,24,10,12,6,Worker_Fatigue,0,0,Normal,8,1,1,89.24684868,3,10.6,Low,1,2,2
52,W002,2,2024-01-01 8:30:00,0.5,15,-42,-66,42,6.531389,74.5,36.77,2.23,18,86,0.14,89,1,1,1,1,73.27,36.73,6.521133,0.04,1.23,0.010256,45,26,11,27,8,Heat_Stress,99,45,Normal,8,1,1,88.79189152,3,23.4,Low,1,0,2
53,W002,3,2024-01-01 8:45:00,0.75,22,-61,-73,-33,6.538275,75.54,36.77,2.09,18,86,0.23,86,1,1,1,1,74.5,36.77,6.531389,0,1.04,0.006886,9,26,10,16,10,Worker_Fatigue,0,0,Normal,8,1,1,100.6926015,3,14.2,Low,1,2,2
54,W002,4,2024-01-01 9:00:00,1,30,-46,-61,-19,6.515328,75.89,36.82,2.23,18,83,0.18,88,1,1,1,1,75.54,36.77,6.538275,0.05,0.35,-0.022947,51,30,11,31,13,Heat_Stress,88,51,Normal,9,1,1,78.7273777,3,27.2,Low,1,0,2
55,W002,5,2024-01-01 9:15:00,1.25,37,-69,-42,12,6.540678,74.84,36.84,2.16,15,85,0.22,87,1,1,1,1,75.89,36.82,6.515328,0.02,-1.05,0.02535,23,29,10,23,15,Worker_Fatigue,0,0,Normal,9,1,1,81.66394553,3,20,Low,1,2,2
56,W002,6,2024-01-01 9:30:00,1.5,45,-51,-70,24,6.542503,73.05,36.77,2.49,17,85,0.16,87,1,1,1,1,74.84,36.84,6.540678,-0.07,-1.79,0.001825,6,33,12,20,17,Worker_Fatigue,0,0,Normal,9,1,1,89.87213139,3,17.6,Low,1,2,2
57,W002,7,2024-01-01 9:45:00,1.75,52,-8,-74,-27,6.542199,74.94,36.77,2.35,17,85,0.18,86,1,1,1,1,73.05,36.77,6.542503,0,1.89,-0.000304,19,33,11,24,19,Worker_Fatigue,0,0,Normal,9,1,1,79.17701687,3,21.2,Low,1,2,2
58,W002,8,2024-01-01 10:00:00,2,60,1,-56,-9,6.551268,76.73,36.81,2.52,17,80,0.12,86,1,1,1,1,74.94,36.77,6.542199,0.04,1.79,0.009069,55,38,12,38,23,Heat_Stress,81,55,Normal,10,1,1,56.72741841,3,33.2,Low,1,0,2
59,W002,9,2024-01-01 10:15:00,2.25,67,-17,-43,20,6.540208,76.11,36.78,2.13,17,88,0.21,87,1,1,1,1,76.73,36.81,6.551268,-0.03,-0.62,-0.01106,10,32,10,22,22,Worker_Fatigue,0,0,Normal,10,1,1,50.37856687,3,19.2,Low,1,2,2
60,W002,10,2024-01-01 10:30:00,2.5,75,-69,-40,33,6.523994,75.3,36.75,2.78,17,83,0.19,87,1,0,1,1,76.11,36.78,6.540208,-0.03,-0.81,-0.016214,11,40,13,26,26,Worker_Fatigue,108,40,PPE_Violation,10,1,1,86.31338251,2,23.2,Low,1,2,3
61,W002,11,2024-01-01 10:45:00,2.75,82,-31,-43,-15,6.520484,74.91,36.82,2.75,16,82,0.12,85,1,0,1,1,75.3,36.75,6.523994,0.07,-0.39,-0.00351,75,42,13,47,28,Heat_Stress,45,75,PPE_Violation,10,1,1,55.09083408,2,41,Low,1,0,3
62,W002,12,2024-01-01 11:00:00,3,90,-42,-43,-13,6.522381,77.34,36.76,2.43,17,80,0.2,85,1,0,1,1,74.91,36.82,6.520484,-0.06,2.43,0.001897,28,41,12,33,31,Worker_Fatigue,106,41,PPE_Violation,11,1,1,61.49796745,2,29,Low,1,2,3
63,W002,13,2024-01-01 11:15:00,3.25,97,-61,-44,-29,6.53472,78.5,36.82,2.3,17,87,0.2,86,1,0,1,1,77.34,36.76,6.522381,0.06,1.16,0.012339,75,37,11,46,31,Heat_Stress,45,75,PPE_Violation,11,1,1,80.61017306,2,40,Low,1,0,3
64,W002,14,2024-01-01 11:30:00,3.5,105,-63,-45,44,6.551295,79.94,36.75,2.03,15,78,0.11,87,1,0,1,1,78.5,36.82,6.53472,-0.07,1.44,0.016575,24,41,10,32,36,Worker_Fatigue,106,41,PPE_Violation,11,1,1,89.05054744,2,28.6,Low,1,2,3
65,W002,15,2024-01-01 11:45:00,3.75,112,-78,-75,29,6.526303,71.98,36.76,2.95,18,83,0.26,85,1,0,1,1,79.94,36.75,6.551295,0.01,-7.96,-0.024992,25,47,14,36,36,Worker_Fatigue,95,47,PPE_Violation,11,1,1,112.0267825,2,31.6,Low,1,2,3
66,W002,16,2024-01-01 12:00:00,4,120,-44,-53,-29,6.533902,75.8,36.75,2.59,16,83,0.22,87,1,0,1,1,71.98,36.76,6.526303,-0.01,3.82,0.007599,40,45,12,40,39,Worker_Fatigue,99,45,PPE_Violation,12,1,1,74.73954776,2,35.2,Low,1,2,3
67,W002,17,2024-01-01 12:15:00,4.25,127,-56,-64,9,6.54067,75.99,36.78,2.43,16,83,0.16,88,1,0,1,1,75.8,36.75,6.533902,0.03,0.19,0.006768,47,44,12,42,41,Heat_Stress,95,47,PPE_Violation,12,1,1,85.51608036,2,37.2,Low,1,0,3
68,W002,18,2024-01-01 12:30:00,4.5,135,-8,-62,-47,6.549876,76.31,36.74,2.29,16,77,0.28,86,1,0,1,1,75.99,36.78,6.54067,-0.04,0.32,0.009206,22,47,11,36,45,Worker_Fatigue,95,47,PPE_Violation,12,1,1,78.21125239,2,32.2,Low,1,2,3
69,W002,19,2024-01-01 12:45:00,4.75,142,-64,-69,-48,6.523927,75.42,36.73,2.91,16,81,0.2,87,1,0,1,1,76.31,36.74,6.549876,-0.01,-0.89,-0.025949,21,51,14,39,46,Worker_Fatigue,88,51,PPE_Violation,12,1,1,105.6456341,2,34.2,Low,1,2,3
70,W002,20,2024-01-01 13:00:00,5,150,-20,-72,41,6.557464,71.54,36.8,2.94,17,80,0.33,88,1,0,1,1,75.42,36.73,6.523927,0.07,-3.88,0.033537,85,53,14,59,48,Heat_Stress,27,85,PPE_Violation,13,1,1,85.23496935,2,51.8,Low,1,0,3
71,W002,21,2024-01-01 13:15:00,5.25,157,-57,-64,-21,6.531161,71.12,36.75,2.85,16,81,0.21,86,1,0,1,1,71.54,36.8,6.557464,-0.05,-0.42,-0.026303,23,53,14,41,50,Worker_Fatigue,84,53,PPE_Violation,13,1,1,88.23831367,2,36.2,Low,1,2,3
72,W002,22,2024-01-01 13:30:00,5.5,165,-60,-78,-23,6.543148,77.48,36.76,2.53,16,84,0.21,87,1,0,1,1,71.12,36.75,6.531161,0.01,6.36,0.011987,71,50,12,54,51,Heat_Stress,52,71,PPE_Violation,13,1,1,101.0593885,2,47.6,Low,1,0,3
73,W002,23,2024-01-01 13:45:00,5.75,172,-18,-62,-25,6.56301,73.65,36.79,2.9,15,82,0.2,88,1,0,1,1,77.48,36.76,6.543148,0.03,-3.83,0.019862,52,55,14,51,54,Worker_Fatigue,81,55,PPE_Violation,13,1,1,69.23149572,2,45.2,Low,1,2,3
74,W002,24,2024-01-01 14:00:00,6,180,-31,-45,23,6.526531,75.8,36.8,3.15,17,76,0.09,86,1,0,1,1,73.65,36.79,6.56301,0.01,2.15,-0.036479,48,61,15,53,58,Worker_Fatigue,70,61,PPE_Violation,14,1,1,59.28743543,2,47,Low,1,2,3
75,W002,25,2024-01-01 14:15:00,6.25,187,-63,-57,41,6.545748,75.92,36.82,3.09,14,79,0.23,87,1,0,1,1,75.8,36.8,6.526531,0.02,0.12,0.019217,46,60,15,53,59,Worker_Fatigue,72,60,PPE_Violation,14,1,1,94.33451118,2,46.6,Low,1,2,3
76,W002,26,2024-01-01 14:30:00,6.5,195,-69,-76,19,6.548699,75.69,36.78,3.02,17,78,0.09,87,1,0,1,1,75.92,36.82,6.545748,-0.04,-0.23,0.002951,29,61,15,49,61,Worker_Fatigue,70,61,PPE_Violation,14,1,1,104.3934864,2,43,Low,1,2,3
77,W002,27,2024-01-01 14:45:00,6.75,202,0,-55,-26,6.53554,77.31,36.76,2.99,16,82,0.28,85,1,0,1,1,75.69,36.78,6.548699,-0.02,1.62,-0.013159,40,59,14,51,62,PPE_Violation,68,62,PPE_Violation,14,1,1,60.8358447,2,45.2,Low,1,1,3
78,W002,28,2024-01-01 15:00:00,7,210,8,-49,-8,6.54964,76.23,36.79,2.98,13,78,0.27,87,1,0,1,1,77.31,36.76,6.53554,0.03,-1.08,0.0141,58,62,14,59,66,PPE_Violation,61,66,PPE_Violation,15,1,1,50.28916384,2,51.8,Low,1,1,3
79,W002,29,2024-01-01 15:15:00,7.25,217,-76,-79,48,6.533207,77.96,36.77,3.1,15,76,0.12,86,1,0,1,1,76.23,36.79,6.54964,-0.02,1.73,-0.016433,42,65,15,56,68,PPE_Violation,57,68,PPE_Violation,15,1,1,119.6703806,2,49.2,Low,1,1,3
80,W002,30,2024-01-01 15:30:00,7.5,225,-64,-40,-26,6.526703,70.93,36.75,3.34,15,78,0.38,86,1,0,1,1,77.96,36.77,6.533207,-0.02,-7.03,-0.006504,33,67,16,54,70,PPE_Violation,54,70,PPE_Violation,15,1,1,79.82480817,2,48,Low,1,1,3
81,W002,31,2024-01-01 15:45:00,7.75,232,-9,-65,-44,6.5403,75.13,36.8,3.73,15,77,0.15,86,1,0,1,1,70.93,36.75,6.526703,0.05,4.2,0.013597,99,72,18,77,72,Heat_Stress,1,99,PPE_Violation,15,1,1,79.00632886,2,67.6,Low,1,0,3
82,W002,32,2024-01-01 16:00:00,8,240,-31,-56,8,6.545368,74.05,36.75,3.49,15,79,0.14,86,1,0,1,1,75.13,36.8,6.5403,-0.05,-1.08,0.005068,36,70,17,58,74,PPE_Violation,46,74,PPE_Violation,16,1,1,64.50581369,2,51,Low,1,1,3
83,W002,33,2024-01-01 16:15:00,8.25,247,-46,-69,22,6.540267,73.57,36.77,3.39,18,79,0.19,86,1,0,1,1,74.05,36.75,6.545368,0.02,-0.48,-0.005101,55,70,16,64,76,PPE_Violation,43,76,PPE_Violation,16,1,1,85.79627032,2,56.2,Low,1,1,3
84,W002,34,2024-01-01 16:30:00,8.5,255,-48,-52,6,6.544356,73.12,36.78,3.15,15,71,0.3,87,1,0,1,1,73.57,36.77,6.540267,0.01,-0.45,0.004089,47,73,15,63,80,PPE_Violation,36,80,PPE_Violation,16,1,1,71.02112362,2,55.6,Low,1,1,3
85,W002,35,2024-01-01 16:45:00,8.75,262,-24,-49,-34,6.543315,75.97,36.77,3.62,16,79,0.29,88,1,0,1,1,73.12,36.78,6.544356,-0.01,2.85,-0.001041,56,74,18,67,80,PPE_Violation,36,80,PPE_Violation,16,1,1,64.28841264,2,59,Low,1,1,3
86,W002,36,2024-01-01 17:00:00,9,270,-54,-55,48,6.530513,74.06,36.76,3.54,16,78,0.18,87,1,0,1,1,75.97,36.77,6.543315,-0.01,-1.91,-0.012802,40,75,17,63,83,PPE_Violation,30,83,PPE_Violation,17,1,1,90.80198236,2,55.6,Low,1,1,3
87,W002,37,2024-01-01 17:15:00,9.25,277,6,-66,13,6.543864,72.08,36.81,3.91,15,76,0.22,88,1,0,1,1,74.06,36.76,6.530513,0.05,-1.98,0.013351,86,80,19,80,85,Heat_Stress,25,86,PPE_Violation,17,1,1,67.53517602,2,70,Low,1,0,3
88,W002,38,2024-01-01 17:30:00,9.5,285,-24,-78,37,6.535545,75.15,36.8,3.44,15,76,0.06,87,1,0,1,1,72.08,36.81,6.543864,-0.01,3.07,-0.008319,61,77,17,71,87,PPE_Violation,23,87,PPE_Violation,17,1,1,89.60468738,2,62.6,Low,1,1,3
